cells,sc3-Initial,Monocle-Initial,Seurat-Initial,garbage1-Initial,garbage2-Initial,sc3-33,Monocle-33,Seurat-33,garbage1-33,garbage2-33,sc3-66,Monocle-66,Seurat-66,garbage1-66,garbage2-66,sc3-90,Monocle-90,Seurat-90,garbage1-90,garbage2-90,sc3-Final,Monocle-Final,Seurat-Final,garbage1-Final,garbage2-Final
human3_lib2.final_cell_0404,4,18,1,8,28,4,12,1,8,28,4,12,1,8,28,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0405,2,18,1,11,27,2,12,1,11,27,2,12,1,11,27,2,12,1,11,2,2,12,1,11,2
human3_lib2.final_cell_0406,16,15,11,8,7,16,15,11,8,7,16,15,11,8,7,16,15,11,1,2,16,15,11,1,2
human3_lib2.final_cell_0407,4,12,1,13,25,4,12,1,13,25,4,12,1,13,25,2,12,1,13,2,2,12,1,13,2
human3_lib2.final_cell_0408,4,14,1,25,9,4,14,1,25,9,4,7,1,25,9,2,7,1,1,2,2,7,1,1,2
human3_lib2.final_cell_0409,16,15,11,17,21,16,15,11,17,21,16,15,11,17,21,16,15,11,17,21,16,15,11,17,21
human3_lib2.final_cell_0410,4,12,1,24,10,4,12,1,24,10,4,12,1,24,10,2,12,1,1,10,2,12,1,1,10
human3_lib2.final_cell_0411,27,17,2,17,22,27,13,2,17,22,27,13,2,17,22,27,13,2,17,2,27,13,2,17,2
human3_lib2.final_cell_0412,9,16,6,10,8,9,16,6,10,8,9,16,6,10,8,9,16,6,10,8,9,16,6,10,8
human3_lib2.final_cell_0413,21,20,6,19,11,21,20,6,19,11,21,20,6,19,11,21,20,6,19,11,21,20,6,19,11
human3_lib2.final_cell_0414,16,15,11,28,25,16,15,11,28,25,16,15,11,28,25,16,15,11,1,2,16,15,11,1,2
human3_lib2.final_cell_0415,4,12,1,16,9,4,12,1,16,9,4,12,1,16,9,2,12,1,16,2,2,12,1,16,2
human3_lib2.final_cell_0416,25,10,8,9,8,25,10,8,9,8,25,10,8,9,8,23,3,8,1,8,23,3,8,1,8
human3_lib2.final_cell_0417,16,15,11,26,1,16,15,11,26,1,16,15,11,26,1,16,15,11,1,1,16,15,11,1,1
human3_lib2.final_cell_0418,9,21,6,14,12,9,21,6,14,12,9,21,6,14,12,9,16,6,1,12,9,16,6,1,12
human3_lib2.final_cell_0419,9,16,6,26,15,9,16,6,26,15,9,16,6,26,15,9,16,6,1,2,9,16,6,1,2
human3_lib2.final_cell_0420,4,18,1,19,12,4,12,1,19,12,4,12,1,19,12,2,12,1,19,12,2,12,1,19,12
human3_lib2.final_cell_0421,27,17,2,22,19,27,13,2,22,19,27,13,2,22,19,27,13,2,1,19,27,13,2,1,19
human3_lib2.final_cell_0422,9,19,12,6,16,9,19,12,6,16,9,19,12,6,16,9,19,12,6,16,9,19,12,6,16
human3_lib2.final_cell_0423,4,18,1,20,21,4,12,1,20,21,4,12,1,20,21,2,12,1,20,21,2,12,1,20,21
human3_lib2.final_cell_0424,4,18,1,17,26,4,12,1,17,26,4,12,1,17,26,2,12,1,17,2,2,12,1,17,2
human3_lib2.final_cell_0425,4,12,1,18,26,4,12,1,18,26,4,12,1,18,26,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0426,27,17,2,27,8,27,13,2,27,8,27,13,2,27,8,27,13,2,1,8,27,13,2,1,8
human3_lib2.final_cell_0427,4,24,1,10,19,4,24,1,10,19,4,24,1,10,19,2,24,1,10,19,2,24,1,10,19
human3_lib2.final_cell_0428,9,21,6,22,18,9,21,6,22,18,9,21,6,22,18,9,16,6,1,18,9,16,6,1,18
human3_lib2.final_cell_0429,25,3,15,13,7,25,3,15,13,7,25,3,15,13,7,23,3,8,13,2,23,3,8,13,2
human3_lib2.final_cell_0430,4,12,1,3,21,4,12,1,3,21,4,12,1,3,21,2,12,1,3,21,2,12,1,3,21
human3_lib2.final_cell_0431,4,12,1,7,20,4,12,1,7,20,4,12,1,7,20,2,12,1,7,20,2,12,1,7,20
human3_lib2.final_cell_0432,18,4,1,19,22,18,4,1,19,22,18,4,1,19,22,18,4,1,19,2,18,4,1,19,2
human3_lib2.final_cell_0433,4,18,1,9,7,4,12,1,9,7,4,12,1,9,7,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0434,9,21,6,4,9,9,21,6,4,9,9,21,6,4,9,9,16,6,4,2,9,16,6,4,2
human3_lib2.final_cell_0435,9,21,6,13,19,9,21,6,13,19,9,21,6,13,19,9,16,6,13,19,9,16,6,13,19
human3_lib2.final_cell_0436,16,15,11,3,4,16,15,11,3,4,16,15,11,3,4,16,15,11,3,4,16,15,11,3,4
human3_lib2.final_cell_0437,26,4,5,6,24,26,4,5,6,24,26,4,5,6,24,26,4,5,6,2,26,4,5,6,2
human3_lib2.final_cell_0438,9,16,12,13,18,9,16,12,13,18,9,16,12,13,18,9,16,12,13,18,9,16,12,13,18
human3_lib2.final_cell_0439,9,16,6,6,26,9,16,6,6,26,9,16,6,6,26,9,16,6,6,2,9,16,6,6,2
human3_lib2.final_cell_0440,4,12,1,6,2,4,12,1,6,2,4,12,1,6,2,2,12,1,6,2,2,12,1,6,2
human3_lib2.final_cell_0441,25,10,8,23,7,25,10,8,23,7,25,10,8,23,7,23,3,8,23,2,23,3,8,23,2
human3_lib2.final_cell_0442,4,12,1,25,18,4,12,1,25,18,4,12,1,25,18,2,12,1,1,18,2,12,1,1,18
human3_lib2.final_cell_0443,21,20,12,7,9,21,20,12,7,9,21,20,12,7,9,21,20,12,7,2,21,20,12,7,2
human3_lib2.final_cell_0444,4,18,1,27,17,4,12,1,27,17,4,12,1,27,17,2,12,1,1,17,2,12,1,1,17
human3_lib2.final_cell_0445,27,17,2,18,1,27,13,2,18,1,27,13,2,18,1,27,13,2,1,1,27,13,2,1,1
human3_lib2.final_cell_0446,4,14,1,17,14,4,14,1,17,14,4,7,1,17,14,2,7,1,17,14,2,7,1,17,14
human3_lib2.final_cell_0447,4,12,1,23,10,4,12,1,23,10,4,12,1,23,10,2,12,1,23,10,2,12,1,23,10
human3_lib2.final_cell_0448,4,12,1,20,8,4,12,1,20,8,4,12,1,20,8,2,12,1,20,8,2,12,1,20,8
human3_lib2.final_cell_0449,5,19,12,17,24,5,19,12,17,24,5,19,12,17,24,5,19,12,17,2,5,19,12,17,2
human3_lib2.final_cell_0450,9,16,6,19,8,9,16,6,19,8,9,16,6,19,8,9,16,6,19,8,9,16,6,19,8
human3_lib2.final_cell_0451,4,12,1,12,26,4,12,1,12,26,4,12,1,12,26,2,12,1,12,2,2,12,1,12,2
human3_lib2.final_cell_0452,4,12,1,10,8,4,12,1,10,8,4,12,1,10,8,2,12,1,10,8,2,12,1,10,8
human3_lib2.final_cell_0453,27,13,2,14,18,27,13,2,14,18,27,13,2,14,18,27,13,2,1,18,27,13,2,1,18
human3_lib2.final_cell_0454,21,20,6,27,7,21,20,6,27,7,21,20,6,27,7,21,20,6,1,2,21,20,6,1,2
human3_lib2.final_cell_0455,4,7,1,6,14,4,7,1,6,14,4,7,1,6,14,2,7,1,6,14,2,7,1,6,14
human3_lib2.final_cell_0456,4,14,1,5,25,4,14,1,5,25,4,7,1,5,25,2,7,1,1,2,2,7,1,1,2
human3_lib2.final_cell_0457,4,12,1,9,4,4,12,1,9,4,4,12,1,9,4,2,12,1,1,4,2,12,1,1,4
human3_lib2.final_cell_0458,16,15,11,28,3,16,15,11,28,3,16,15,11,28,3,16,15,11,1,2,16,15,11,1,2
human3_lib2.final_cell_0459,16,15,11,7,17,16,15,11,7,17,16,15,11,7,17,16,15,11,7,17,16,15,11,7,17
human3_lib2.final_cell_0460,25,15,11,20,9,25,15,11,20,9,25,15,11,20,9,23,15,11,20,2,23,15,11,20,2
human3_lib2.final_cell_0461,25,10,8,6,10,25,10,8,6,10,25,10,8,6,10,23,3,8,6,10,23,3,8,6,10
human3_lib2.final_cell_0462,25,10,8,24,13,25,10,8,24,13,25,10,8,24,13,23,3,8,1,2,23,3,8,1,2
human3_lib2.final_cell_0463,4,18,1,9,25,4,12,1,9,25,4,12,1,9,25,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0464,9,20,6,21,19,9,20,6,21,19,9,20,6,21,19,9,20,6,1,19,9,20,6,1,19
human3_lib2.final_cell_0465,21,1,6,23,26,21,1,6,23,26,21,1,6,23,26,21,1,6,23,2,21,1,6,23,2
human3_lib2.final_cell_0466,27,17,2,13,2,27,13,2,13,2,27,13,2,13,2,27,13,2,13,2,27,13,2,13,2
human3_lib2.final_cell_0467,4,18,1,24,28,4,12,1,24,28,4,12,1,24,28,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0468,4,12,1,11,20,4,12,1,11,20,4,12,1,11,20,2,12,1,11,20,2,12,1,11,20
human3_lib2.final_cell_0469,27,17,2,12,2,27,13,2,12,2,27,13,2,12,2,27,13,2,12,2,27,13,2,12,2
human3_lib2.final_cell_0470,4,18,1,7,2,4,12,1,7,2,4,12,1,7,2,2,12,1,7,2,2,12,1,7,2
human3_lib2.final_cell_0471,4,12,1,4,17,4,12,1,4,17,4,12,1,4,17,2,12,1,4,17,2,12,1,4,17
human3_lib2.final_cell_0472,27,17,2,24,6,27,13,2,24,6,27,13,2,24,6,27,13,2,1,6,27,13,2,1,6
human3_lib2.final_cell_0473,27,13,2,27,16,27,13,2,27,16,27,13,2,27,16,27,13,2,1,16,27,13,2,1,16
human3_lib2.final_cell_0474,27,17,2,21,10,27,13,2,21,10,27,13,2,21,10,27,13,2,1,10,27,13,2,1,10
human3_lib2.final_cell_0475,9,23,1,22,17,9,23,1,22,17,9,23,1,22,17,9,23,1,1,17,9,23,1,1,17
human3_lib2.final_cell_0476,16,8,11,1,23,16,8,11,1,23,16,8,11,1,23,16,8,11,1,2,16,8,11,1,2
human3_lib2.final_cell_0477,27,17,2,15,2,27,13,2,15,2,27,13,2,15,2,27,13,2,1,2,27,13,2,1,2
human3_lib2.final_cell_0478,4,12,1,1,7,4,12,1,1,7,4,12,1,1,7,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0479,18,24,16,11,20,18,24,16,11,20,18,24,16,11,20,18,24,16,11,20,18,24,16,11,20
human3_lib2.final_cell_0480,4,18,1,3,11,4,12,1,3,11,4,12,1,3,11,2,12,1,3,11,2,12,1,3,11
human3_lib2.final_cell_0481,27,13,2,21,26,27,13,2,21,26,27,13,2,21,26,27,13,2,1,2,27,13,2,1,2
human3_lib2.final_cell_0482,4,12,1,5,28,4,12,1,5,28,4,12,1,5,28,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0483,4,12,1,5,22,4,12,1,5,22,4,12,1,5,22,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0484,4,7,1,16,7,4,7,1,16,7,4,7,1,16,7,2,7,1,16,2,2,7,1,16,2
human3_lib2.final_cell_0485,4,12,1,20,14,4,12,1,20,14,4,12,1,20,14,2,12,1,20,14,2,12,1,20,14
human3_lib2.final_cell_0486,27,17,2,9,12,27,13,2,9,12,27,13,2,9,12,27,13,2,1,12,27,13,2,1,12
human3_lib2.final_cell_0487,4,12,1,26,9,4,12,1,26,9,4,12,1,26,9,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0488,4,18,1,8,11,4,12,1,8,11,4,12,1,8,11,2,12,1,1,11,2,12,1,1,11
human3_lib2.final_cell_0489,4,12,1,15,28,4,12,1,15,28,4,12,1,15,28,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0490,9,16,6,24,3,9,16,6,24,3,9,16,6,24,3,9,16,6,1,2,9,16,6,1,2
human3_lib2.final_cell_0491,27,13,2,5,5,27,13,2,5,5,27,13,2,5,5,27,13,2,1,2,27,13,2,1,2
human3_lib2.final_cell_0492,25,10,8,17,27,25,10,8,17,27,25,10,8,17,27,23,3,8,17,2,23,3,8,17,2
human3_lib2.final_cell_0493,4,18,1,11,5,4,12,1,11,5,4,12,1,11,5,2,12,1,11,2,2,12,1,11,2
human3_lib2.final_cell_0494,25,10,8,8,11,25,10,8,8,11,25,10,8,8,11,23,3,8,1,11,23,3,8,1,11
human3_lib2.final_cell_0495,4,18,1,25,1,4,12,1,25,1,4,12,1,25,1,2,12,1,1,1,2,12,1,1,1
human3_lib2.final_cell_0496,4,12,1,11,24,4,12,1,11,24,4,12,1,11,24,2,12,1,11,2,2,12,1,11,2
human3_lib2.final_cell_0497,27,13,2,13,6,27,13,2,13,6,27,13,2,13,6,27,13,2,13,6,27,13,2,13,6
human3_lib2.final_cell_0498,4,12,1,19,23,4,12,1,19,23,4,12,1,19,23,2,12,1,19,2,2,12,1,19,2
human3_lib2.final_cell_0499,9,21,6,3,10,9,21,6,3,10,9,21,6,3,10,9,16,6,3,10,9,16,6,3,10
human3_lib2.final_cell_0500,4,18,1,13,23,4,12,1,13,23,4,12,1,13,23,2,12,1,13,2,2,12,1,13,2
human3_lib2.final_cell_0501,4,12,7,28,6,4,12,7,28,6,4,12,4,28,6,2,12,4,1,6,2,12,4,1,6
human3_lib2.final_cell_0502,16,15,11,13,27,16,15,11,13,27,16,15,11,13,27,16,15,11,13,2,16,15,11,13,2
human3_lib2.final_cell_0503,4,18,1,19,11,4,12,1,19,11,4,12,1,19,11,2,12,1,19,11,2,12,1,19,11
human3_lib2.final_cell_0504,16,15,11,16,12,16,15,11,16,12,16,15,11,16,12,16,15,11,16,12,16,15,11,16,12
human3_lib2.final_cell_0505,4,12,1,26,2,4,12,1,26,2,4,12,1,26,2,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0506,27,17,2,23,14,27,13,2,23,14,27,13,2,23,14,27,13,2,23,14,27,13,2,23,14
human3_lib2.final_cell_0507,4,18,1,24,13,4,12,1,24,13,4,12,1,24,13,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0508,9,20,6,18,5,9,20,6,18,5,9,20,6,18,5,9,20,6,1,2,9,20,6,1,2
human3_lib2.final_cell_0509,4,18,1,11,8,4,12,1,11,8,4,12,1,11,8,2,12,1,11,8,2,12,1,11,8
human3_lib2.final_cell_0510,4,12,1,8,14,4,12,1,8,14,4,12,1,8,14,2,12,1,1,14,2,12,1,1,14
human3_lib2.final_cell_0511,9,21,6,1,19,9,21,6,1,19,9,21,6,1,19,9,16,6,1,19,9,16,6,1,19
human3_lib2.final_cell_0512,14,20,6,5,20,14,20,6,5,20,14,20,6,5,20,14,20,6,1,20,14,20,6,1,20
human3_lib2.final_cell_0513,4,18,1,5,2,4,12,1,5,2,4,12,1,5,2,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0514,4,18,1,5,2,4,12,1,5,2,4,12,1,5,2,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0515,4,12,1,27,13,4,12,1,27,13,4,12,1,27,13,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0516,16,15,11,8,6,16,15,11,8,6,16,15,11,8,6,16,15,11,1,6,16,15,11,1,6
human3_lib2.final_cell_0517,4,18,1,21,26,4,12,1,21,26,4,12,1,21,26,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0518,4,12,1,12,3,4,12,1,12,3,4,12,1,12,3,2,12,1,12,2,2,12,1,12,2
human3_lib2.final_cell_0519,2,18,1,16,22,2,12,1,16,22,2,12,1,16,22,2,12,1,16,2,2,12,1,16,2
human3_lib2.final_cell_0520,4,18,1,15,23,4,12,1,15,23,4,12,1,15,23,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0521,4,18,1,4,19,4,12,1,4,19,4,12,1,4,19,2,12,1,4,19,2,12,1,4,19
human3_lib2.final_cell_0522,4,12,1,2,15,4,12,1,2,15,4,12,1,2,15,2,12,1,2,2,2,12,1,2,2
human3_lib2.final_cell_0523,9,21,12,10,22,9,21,12,10,22,9,21,12,10,22,9,16,12,10,2,9,16,12,10,2
human3_lib2.final_cell_0524,9,2,6,14,4,9,2,6,14,4,9,2,6,14,4,9,2,6,1,4,9,2,6,1,4
human3_lib2.final_cell_0525,4,12,1,27,5,4,12,1,27,5,4,12,1,27,5,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0526,25,15,11,18,27,25,15,11,18,27,25,15,11,18,27,23,15,11,1,2,23,15,11,1,2
human3_lib2.final_cell_0527,16,15,11,6,28,16,15,11,6,28,16,15,11,6,28,16,15,11,6,2,16,15,11,6,2
human3_lib2.final_cell_0528,16,15,11,15,17,16,15,11,15,17,16,15,11,15,17,16,15,11,1,17,16,15,11,1,17
human3_lib2.final_cell_0529,9,21,6,4,13,9,21,6,4,13,9,21,6,4,13,9,16,6,4,2,9,16,6,4,2
human3_lib2.final_cell_0530,25,10,15,15,20,25,10,15,15,20,25,10,15,15,20,23,3,8,1,20,23,3,8,1,20
human3_lib2.final_cell_0531,4,12,1,3,18,4,12,1,3,18,4,12,1,3,18,2,12,1,3,18,2,12,1,3,18
human3_lib2.final_cell_0532,9,16,6,18,5,9,16,6,18,5,9,16,6,18,5,9,16,6,1,2,9,16,6,1,2
human3_lib2.final_cell_0533,4,18,1,22,5,4,12,1,22,5,4,12,1,22,5,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0534,21,20,6,16,12,21,20,6,16,12,21,20,6,16,12,21,20,6,16,12,21,20,6,16,12
human3_lib2.final_cell_0535,4,12,1,19,9,4,12,1,19,9,4,12,1,19,9,2,12,1,19,2,2,12,1,19,2
human3_lib2.final_cell_0536,4,12,1,15,3,4,12,1,15,3,4,12,1,15,3,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0537,4,12,1,9,17,4,12,1,9,17,4,12,1,9,17,2,12,1,1,17,2,12,1,1,17
human3_lib2.final_cell_0538,16,15,11,18,28,16,15,11,18,28,16,15,11,18,28,16,15,11,1,2,16,15,11,1,2
human3_lib2.final_cell_0539,9,21,6,7,8,9,21,6,7,8,9,21,6,7,8,9,16,6,7,8,9,16,6,7,8
human3_lib2.final_cell_0540,25,10,8,28,16,25,10,8,28,16,25,10,8,28,16,23,3,8,1,16,23,3,8,1,16
human3_lib2.final_cell_0541,4,18,1,8,14,4,12,1,8,14,4,12,1,8,14,2,12,1,1,14,2,12,1,1,14
human3_lib2.final_cell_0542,4,18,1,27,10,4,12,1,27,10,4,12,1,27,10,2,12,1,1,10,2,12,1,1,10
human3_lib2.final_cell_0543,4,12,1,23,18,4,12,1,23,18,4,12,1,23,18,2,12,1,23,18,2,12,1,23,18
human3_lib2.final_cell_0544,25,10,15,25,14,25,10,15,25,14,25,10,15,25,14,23,3,8,1,14,23,3,8,1,14
human3_lib2.final_cell_0545,4,12,1,10,19,4,12,1,10,19,4,12,1,10,19,2,12,1,10,19,2,12,1,10,19
human3_lib2.final_cell_0546,9,16,12,6,9,9,16,12,6,9,9,16,12,6,9,9,16,12,6,2,9,16,12,6,2
human3_lib2.final_cell_0547,27,13,2,24,16,27,13,2,24,16,27,13,2,24,16,27,13,2,1,16,27,13,2,1,16
human3_lib2.final_cell_0548,4,14,1,19,10,4,14,1,19,10,4,7,1,19,10,2,7,1,19,10,2,7,1,19,10
human3_lib2.final_cell_0549,22,16,12,28,27,22,16,12,28,27,22,16,12,28,27,22,16,12,1,2,22,16,12,1,2
human3_lib2.final_cell_0550,4,12,1,27,28,4,12,1,27,28,4,12,1,27,28,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0551,4,18,1,22,11,4,12,1,22,11,4,12,1,22,11,2,12,1,1,11,2,12,1,1,11
human3_lib2.final_cell_0552,4,7,1,11,19,4,7,1,11,19,4,7,1,11,19,2,7,1,11,19,2,7,1,11,19
human3_lib2.final_cell_0553,9,21,6,12,3,9,21,6,12,3,9,21,6,12,3,9,16,6,12,2,9,16,6,12,2
human3_lib2.final_cell_0554,4,12,1,8,15,4,12,1,8,15,4,12,1,8,15,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0555,4,12,1,5,9,4,12,1,5,9,4,12,1,5,9,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0556,4,12,1,17,14,4,12,1,17,14,4,12,1,17,14,2,12,1,17,14,2,12,1,17,14
human3_lib2.final_cell_0557,4,7,1,2,4,4,7,1,2,4,4,7,1,2,4,2,7,1,2,4,2,7,1,2,4
human3_lib2.final_cell_0558,4,18,1,3,20,4,12,1,3,20,4,12,1,3,20,2,12,1,3,20,2,12,1,3,20
human3_lib2.final_cell_0559,4,12,1,17,7,4,12,1,17,7,4,12,1,17,7,2,12,1,17,2,2,12,1,17,2
human3_lib2.final_cell_0560,4,18,1,14,18,4,12,1,14,18,4,12,1,14,18,2,12,1,1,18,2,12,1,1,18
human3_lib2.final_cell_0561,4,12,1,12,15,4,12,1,12,15,4,12,1,12,15,2,12,1,12,2,2,12,1,12,2
human3_lib2.final_cell_0562,9,21,6,15,4,9,21,6,15,4,9,21,6,15,4,9,16,6,1,4,9,16,6,1,4
human3_lib2.final_cell_0563,8,2,6,14,24,8,2,6,14,24,8,2,6,14,24,8,2,6,1,2,8,2,6,1,2
human3_lib2.final_cell_0564,4,12,1,18,6,4,12,1,18,6,4,12,1,18,6,2,12,1,1,6,2,12,1,1,6
human3_lib2.final_cell_0565,2,18,1,13,28,2,12,1,13,28,2,12,1,13,28,2,12,1,13,2,2,12,1,13,2
human3_lib2.final_cell_0566,9,20,6,23,23,9,20,6,23,23,9,20,6,23,23,9,20,6,23,2,9,20,6,23,2
human3_lib2.final_cell_0567,5,19,12,10,27,5,19,12,10,27,5,19,12,10,27,5,19,12,10,2,5,19,12,10,2
human3_lib2.final_cell_0568,4,12,1,23,18,4,12,1,23,18,4,12,1,23,18,2,12,1,23,18,2,12,1,23,18
human3_lib2.final_cell_0569,27,17,2,23,28,27,13,2,23,28,27,13,2,23,28,27,13,2,23,2,27,13,2,23,2
human3_lib2.final_cell_0570,16,15,11,25,19,16,15,11,25,19,16,15,11,25,19,16,15,11,1,19,16,15,11,1,19
human3_lib2.final_cell_0571,4,12,1,1,8,4,12,1,1,8,4,12,1,1,8,2,12,1,1,8,2,12,1,1,8
human3_lib2.final_cell_0572,4,18,1,25,18,4,12,1,25,18,4,12,1,25,18,2,12,1,1,18,2,12,1,1,18
human3_lib2.final_cell_0573,9,16,12,2,18,9,16,12,2,18,9,16,12,2,18,9,16,12,2,18,9,16,12,2,18
human3_lib2.final_cell_0574,9,21,6,2,1,9,21,6,2,1,9,21,6,2,1,9,16,6,2,1,9,16,6,2,1
human3_lib2.final_cell_0575,4,12,1,26,22,4,12,1,26,22,4,12,1,26,22,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0576,27,17,2,17,28,27,13,2,17,28,27,13,2,17,28,27,13,2,17,2,27,13,2,17,2
human3_lib2.final_cell_0577,4,14,1,24,12,4,14,1,24,12,4,7,1,24,12,2,7,1,1,12,2,7,1,1,12
human3_lib2.final_cell_0578,4,12,1,25,27,4,12,1,25,27,4,12,1,25,27,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0579,4,7,1,20,1,4,7,1,20,1,4,7,1,20,1,2,7,1,20,1,2,7,1,20,1
human3_lib2.final_cell_0580,25,5,19,16,9,25,5,19,16,9,25,5,19,16,9,23,3,8,16,2,23,3,8,16,2
human3_lib2.final_cell_0581,9,16,6,20,25,9,16,6,20,25,9,16,6,20,25,9,16,6,20,2,9,16,6,20,2
human3_lib2.final_cell_0582,9,21,6,23,9,9,21,6,23,9,9,21,6,23,9,9,16,6,23,2,9,16,6,23,2
human3_lib2.final_cell_0583,4,12,1,10,18,4,12,1,10,18,4,12,1,10,18,2,12,1,10,18,2,12,1,10,18
human3_lib2.final_cell_0584,4,18,1,23,7,4,12,1,23,7,4,12,1,23,7,2,12,1,23,2,2,12,1,23,2
human3_lib2.final_cell_0585,16,15,11,12,12,16,15,11,12,12,16,15,11,12,12,16,15,11,12,12,16,15,11,12,12
human3_lib2.final_cell_0586,27,17,2,18,28,27,13,2,18,28,27,13,2,18,28,27,13,2,1,2,27,13,2,1,2
human3_lib2.final_cell_0587,4,7,20,28,7,4,7,20,28,7,4,7,20,28,7,2,7,8,1,2,2,7,8,1,2
human3_lib2.final_cell_0588,4,18,1,5,28,4,12,1,5,28,4,12,1,5,28,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0589,21,7,6,16,22,21,7,6,16,22,21,7,6,16,22,21,7,6,16,2,21,7,6,16,2
human3_lib2.final_cell_0590,4,12,1,21,18,4,12,1,21,18,4,12,1,21,18,2,12,1,1,18,2,12,1,1,18
human3_lib2.final_cell_0591,4,18,1,27,6,4,12,1,27,6,4,12,1,27,6,2,12,1,1,6,2,12,1,1,6
human3_lib2.final_cell_0592,4,12,1,2,26,4,12,1,2,26,4,12,1,2,26,2,12,1,2,2,2,12,1,2,2
human3_lib2.final_cell_0593,25,10,8,12,24,25,10,8,12,24,25,10,8,12,24,23,3,8,12,2,23,3,8,12,2
human3_lib2.final_cell_0594,9,16,12,14,15,9,16,12,14,15,9,16,12,14,15,9,16,12,1,2,9,16,12,1,2
human3_lib2.final_cell_0595,4,12,1,7,26,4,12,1,7,26,4,12,1,7,26,2,12,1,7,2,2,12,1,7,2
human3_lib2.final_cell_0596,18,24,16,6,9,18,24,16,6,9,18,24,16,6,9,18,24,16,6,2,18,24,16,6,2
human3_lib2.final_cell_0597,4,18,1,15,11,4,12,1,15,11,4,12,1,15,11,2,12,1,1,11,2,12,1,1,11
human3_lib2.final_cell_0598,4,12,1,22,18,4,12,1,22,18,4,12,1,22,18,2,12,1,1,18,2,12,1,1,18
human3_lib2.final_cell_0599,16,15,11,1,23,16,15,11,1,23,16,15,11,1,23,16,15,11,1,2,16,15,11,1,2
human3_lib2.final_cell_0600,4,12,1,24,19,4,12,1,24,19,4,12,1,24,19,2,12,1,1,19,2,12,1,1,19
human3_lib2.final_cell_0601,4,7,1,10,27,4,7,1,10,27,4,7,1,10,27,2,7,1,10,2,2,7,1,10,2
human3_lib2.final_cell_0602,4,18,1,3,6,4,12,1,3,6,4,12,1,3,6,2,12,1,3,6,2,12,1,3,6
human3_lib2.final_cell_0603,4,16,6,5,24,4,16,6,5,24,4,16,6,5,24,2,16,6,1,2,2,16,6,1,2
human3_lib2.final_cell_0604,4,12,1,25,13,4,12,1,25,13,4,12,1,25,13,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0605,25,10,8,4,13,25,10,8,4,13,25,10,8,4,13,23,3,8,4,2,23,3,8,4,2
human3_lib2.final_cell_0606,16,15,11,26,11,16,15,11,26,11,16,15,11,26,11,16,15,11,1,11,16,15,11,1,11
human3_lib2.final_cell_0607,16,15,11,26,21,16,15,11,26,21,16,15,11,26,21,16,15,11,1,21,16,15,11,1,21
human3_lib2.final_cell_0608,27,13,2,8,14,27,13,2,8,14,27,13,2,8,14,27,13,2,1,14,27,13,2,1,14
human3_lib2.final_cell_0609,9,21,1,1,6,9,21,1,1,6,9,21,1,1,6,9,16,1,1,6,9,16,1,1,6
human3_lib2.final_cell_0610,4,12,1,3,2,4,12,1,3,2,4,12,1,3,2,2,12,1,3,2,2,12,1,3,2
human3_lib2.final_cell_0611,16,15,11,3,28,16,15,11,3,28,16,15,11,3,28,16,15,11,3,2,16,15,11,3,2
human3_lib2.final_cell_0612,4,12,1,6,15,4,12,1,6,15,4,12,1,6,15,2,12,1,6,2,2,12,1,6,2
human3_lib2.final_cell_0613,4,18,1,8,9,4,12,1,8,9,4,12,1,8,9,2,12,1,1,2,2,12,1,1,2
human3_lib2.final_cell_0614,27,13,2,26,15,27,13,2,26,15,27,13,2,26,15,27,13,2,1,2,27,13,2,1,2
human3_lib2.final_cell_0615,26,4,5,4,24,26,4,5,4,24,26,4,5,4,24,26,4,5,4,2,26,4,5,4,2
