cells,sc3-Initial,Monocle-Initial,Seurat-Initial,garbage-Initial,sc3-33,Monocle-33,Seurat-33,garbage-33,sc3-66,Monocle-66,Seurat-66,garbage-66,sc3-90,Monocle-90,Seurat-90,garbage-90,sc3-Final,Monocle-Final,Seurat-Final,garbage-Final
human3_lib2.final_cell_0053,27,17,2,8,27,13,2,8,27,13,2,8,27,13,2,8,27,13,2,1
human3_lib2.final_cell_0054,27,17,2,27,27,13,2,27,27,13,2,27,27,13,2,27,27,13,2,1
human3_lib2.final_cell_0055,27,17,2,28,27,13,2,28,27,13,2,28,27,13,2,28,27,13,2,28
human3_lib2.final_cell_0056,27,13,2,16,27,13,2,16,27,13,2,16,27,13,2,16,27,13,2,16
human3_lib2.final_cell_0057,27,13,2,19,27,13,2,19,27,13,2,19,27,13,2,19,27,13,2,19
human3_lib2.final_cell_0058,27,13,2,16,27,13,2,16,27,13,2,16,27,13,2,16,27,13,2,16
human3_lib2.final_cell_0059,27,17,2,15,27,13,2,15,27,13,2,15,27,13,2,15,27,13,2,15
human3_lib2.final_cell_0060,27,17,2,11,27,13,2,11,27,13,2,11,27,13,2,11,27,13,2,11
human3_lib2.final_cell_0061,27,17,2,8,27,13,2,8,27,13,2,8,27,13,2,8,27,13,2,1
human3_lib2.final_cell_0062,27,17,2,21,27,13,2,21,27,13,2,21,27,13,2,21,27,13,2,21
human3_lib2.final_cell_0063,27,17,2,13,27,13,2,13,27,13,2,13,27,13,2,13,27,13,2,1
human3_lib2.final_cell_0064,27,17,2,6,27,13,2,6,27,13,2,6,27,13,2,6,27,13,2,6
human3_lib2.final_cell_0065,9,16,6,19,9,16,6,19,9,16,6,19,9,16,6,19,9,16,6,19
human3_lib2.final_cell_0066,26,4,5,15,26,4,5,15,26,4,5,15,26,4,5,15,26,4,5,15
human3_lib2.final_cell_0067,27,17,2,28,27,13,2,28,27,13,2,28,27,13,2,28,27,13,2,28
human3_lib2.final_cell_0068,16,15,11,6,16,15,11,6,16,15,11,6,16,15,11,6,16,15,11,6
human3_lib2.final_cell_0069,27,13,2,27,27,13,2,27,27,13,2,27,27,13,2,27,27,13,2,1
human3_lib2.final_cell_0070,26,4,5,28,26,4,5,28,26,4,5,28,26,4,5,28,26,4,5,28
human3_lib2.final_cell_0071,27,13,2,20,27,13,2,20,27,13,2,20,27,13,2,20,27,13,2,20
human3_lib2.final_cell_0072,27,13,2,20,27,13,2,20,27,13,2,20,27,13,2,20,27,13,2,20
human3_lib2.final_cell_0073,27,17,2,6,27,13,2,6,27,13,2,6,27,13,2,6,27,13,2,6
human3_lib2.final_cell_0074,24,11,14,11,24,11,14,11,24,11,14,11,24,11,14,11,24,11,14,11
human3_lib2.final_cell_0075,27,13,2,9,27,13,2,9,27,13,2,9,27,13,2,9,27,13,2,9
human3_lib2.final_cell_0076,27,17,2,22,27,13,2,22,27,13,2,22,27,13,2,22,27,13,2,1
human3_lib2.final_cell_0077,9,21,6,20,9,21,6,20,9,21,6,20,9,21,6,20,9,16,6,20
human3_lib2.final_cell_0078,27,13,2,11,27,13,2,11,27,13,2,11,27,13,2,11,27,13,2,11
human3_lib2.final_cell_0079,27,17,2,3,27,13,2,3,27,13,2,3,27,13,2,3,27,13,2,1
human3_lib2.final_cell_0080,27,17,2,17,27,13,2,17,27,13,2,17,27,13,2,17,27,13,2,1
human3_lib2.final_cell_0081,27,17,2,4,27,13,2,4,27,13,2,4,27,13,2,4,27,13,2,4
human3_lib2.final_cell_0082,27,17,2,3,27,13,2,3,27,13,2,3,27,13,2,3,27,13,2,1
human3_lib2.final_cell_0083,27,17,2,25,27,13,2,25,27,13,2,25,27,13,2,25,27,13,2,1
human3_lib2.final_cell_0084,27,17,2,3,27,13,2,3,27,13,2,3,27,13,2,3,27,13,2,1
human3_lib2.final_cell_0085,9,15,6,23,9,15,6,23,9,15,6,23,9,15,6,23,9,15,6,23
human3_lib2.final_cell_0086,28,13,2,14,28,13,2,14,28,13,2,14,27,13,2,14,27,13,2,1
human3_lib2.final_cell_0087,26,4,5,19,26,4,5,19,26,4,5,19,26,4,5,19,26,4,5,19
human3_lib2.final_cell_0088,27,17,2,13,27,13,2,13,27,13,2,13,27,13,2,13,27,13,2,1
human3_lib2.final_cell_0089,21,20,6,16,21,20,6,16,21,20,6,16,21,20,6,16,21,20,6,16
human3_lib2.final_cell_0090,27,13,2,12,27,13,2,12,27,13,2,12,27,13,2,12,27,13,2,12
human3_lib2.final_cell_0091,27,17,2,1,27,13,2,1,27,13,2,1,27,13,2,1,27,13,2,1
human3_lib2.final_cell_0092,26,4,5,9,26,4,5,9,26,4,5,9,26,4,5,9,26,4,5,9
human3_lib2.final_cell_0093,27,17,2,11,27,13,2,11,27,13,2,11,27,13,2,11,27,13,2,11
human3_lib2.final_cell_0094,27,13,2,17,27,13,2,17,27,13,2,17,27,13,2,17,27,13,2,1
human3_lib2.final_cell_0095,26,4,5,11,26,4,5,11,26,4,5,11,26,4,5,11,26,4,5,11
human3_lib2.final_cell_0096,27,17,2,25,27,13,2,25,27,13,2,25,27,13,2,25,27,13,2,1
human3_lib2.final_cell_0097,27,17,2,17,27,13,2,17,27,13,2,17,27,13,2,17,27,13,2,1
human3_lib2.final_cell_0098,27,17,2,23,27,13,2,23,27,13,2,23,27,13,2,23,27,13,2,23
human3_lib2.final_cell_0099,27,17,2,15,27,13,2,15,27,13,2,15,27,13,2,15,27,13,2,15
human3_lib2.final_cell_0100,27,13,2,20,27,13,2,20,27,13,2,20,27,13,2,20,27,13,2,20
human3_lib2.final_cell_0101,27,13,2,10,27,13,2,10,27,13,2,10,27,13,2,10,27,13,2,10
human3_lib2.final_cell_0102,27,17,2,20,27,13,2,20,27,13,2,20,27,13,2,20,27,13,2,20
human3_lib2.final_cell_0103,26,4,12,8,26,4,12,8,26,4,12,8,26,4,12,8,26,4,12,1
human3_lib2.final_cell_0104,27,13,2,4,27,13,2,4,27,13,2,4,27,13,2,4,27,13,2,4
human3_lib2.final_cell_0105,27,13,2,1,27,13,2,1,27,13,2,1,27,13,2,1,27,13,2,1
human3_lib2.final_cell_0106,9,20,6,13,9,20,6,13,9,20,6,13,9,20,6,13,9,20,6,1
human3_lib2.final_cell_0107,27,17,2,23,27,13,2,23,27,13,2,23,27,13,2,23,27,13,2,23
human3_lib2.final_cell_0108,27,13,2,3,27,13,2,3,27,13,2,3,27,13,2,3,27,13,2,1
human3_lib2.final_cell_0109,28,13,2,16,28,13,2,16,28,13,2,16,27,13,2,16,27,13,2,16
human3_lib2.final_cell_0110,25,10,8,9,25,10,8,9,25,10,8,9,25,9,8,9,25,9,8,9
human3_lib2.final_cell_0111,4,12,1,20,4,12,1,20,4,12,1,20,4,12,1,20,2,12,1,20
human3_lib2.final_cell_0112,27,13,2,1,27,13,2,1,27,13,2,1,27,13,2,1,27,13,2,1
human3_lib2.final_cell_0113,9,16,6,27,9,16,6,27,9,16,6,27,9,16,6,27,9,16,6,1
human3_lib2.final_cell_0114,4,18,1,22,4,12,1,22,4,12,1,22,4,12,1,22,2,12,1,1
human3_lib2.final_cell_0115,27,13,2,7,27,13,2,7,27,13,2,7,27,13,2,7,27,13,2,7
human3_lib2.final_cell_0116,27,17,2,9,27,13,2,9,27,13,2,9,27,13,2,9,27,13,2,9
human3_lib2.final_cell_0117,27,13,2,20,27,13,2,20,27,13,2,20,27,13,2,20,27,13,2,20
human3_lib2.final_cell_0118,27,17,2,15,27,13,2,15,27,13,2,15,27,13,2,15,27,13,2,15
human3_lib2.final_cell_0119,27,17,2,25,27,13,2,25,27,13,2,25,27,13,2,25,27,13,2,1
human3_lib2.final_cell_0120,27,17,2,26,27,13,2,26,27,13,2,26,27,13,2,26,27,13,2,26
human3_lib2.final_cell_0121,18,24,16,27,18,24,16,27,18,24,16,27,18,24,16,27,18,24,16,1
human3_lib2.final_cell_0122,16,15,11,17,16,15,11,17,16,15,11,17,16,15,11,17,16,15,11,1
human3_lib2.final_cell_0123,27,17,2,22,27,13,2,22,27,13,2,22,27,13,2,22,27,13,2,1
human3_lib2.final_cell_0124,27,17,2,21,27,13,2,21,27,13,2,21,27,13,2,21,27,13,2,21
human3_lib2.final_cell_0125,27,17,2,14,27,13,2,14,27,13,2,14,27,13,2,14,27,13,2,1
human3_lib2.final_cell_0126,27,17,2,13,27,13,2,13,27,13,2,13,27,13,2,13,27,13,2,1
human3_lib2.final_cell_0127,27,17,2,17,27,13,2,17,27,13,2,17,27,13,2,17,27,13,2,1
human3_lib2.final_cell_0128,16,15,11,6,16,15,11,6,16,15,11,6,16,15,11,6,16,15,11,6
human3_lib2.final_cell_0129,27,17,2,2,27,13,2,2,27,13,2,2,27,13,2,2,27,13,2,2
human3_lib2.final_cell_0130,27,17,2,28,27,13,2,28,27,13,2,28,27,13,2,28,27,13,2,28
human3_lib2.final_cell_0131,26,4,5,19,26,4,5,19,26,4,5,19,26,4,5,19,26,4,5,19
human3_lib2.final_cell_0132,9,2,6,17,9,2,6,17,9,2,6,17,9,2,6,17,9,2,6,1
human3_lib2.final_cell_0133,4,12,1,4,4,12,1,4,4,12,1,4,4,12,1,4,2,12,1,4
human3_lib2.final_cell_0134,27,17,2,23,27,13,2,23,27,13,2,23,27,13,2,23,27,13,2,23
human3_lib2.final_cell_0135,27,13,2,25,27,13,2,25,27,13,2,25,27,13,2,25,27,13,2,1
human3_lib2.final_cell_0136,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,1
human3_lib2.final_cell_0137,9,20,6,18,9,20,6,18,9,20,6,18,9,20,6,18,9,20,6,1
human3_lib2.final_cell_0138,27,13,2,18,27,13,2,18,27,13,2,18,27,13,2,18,27,13,2,1
human3_lib2.final_cell_0139,9,20,6,10,9,20,6,10,9,20,6,10,9,20,6,10,9,20,6,10
human3_lib2.final_cell_0140,27,17,2,22,27,13,2,22,27,13,2,22,27,13,2,22,27,13,2,1
human3_lib2.final_cell_0141,16,15,11,22,16,15,11,22,16,15,11,22,16,15,11,22,16,15,11,1
human3_lib2.final_cell_0142,6,14,1,26,6,14,1,26,6,7,1,26,4,7,1,26,2,7,1,26
human3_lib2.final_cell_0143,16,15,11,3,16,15,11,3,16,15,11,3,16,15,11,3,16,15,11,1
human3_lib2.final_cell_0144,9,21,6,17,9,21,6,17,9,21,6,17,9,21,6,17,9,16,6,1
human3_lib2.final_cell_0145,4,12,1,17,4,12,1,17,4,12,1,17,4,12,1,17,2,12,1,1
human3_lib2.final_cell_0146,9,16,6,28,9,16,6,28,9,16,6,28,9,16,6,28,9,16,6,28
human3_lib2.final_cell_0147,4,12,1,18,4,12,1,18,4,12,1,18,4,12,1,18,2,12,1,1
human3_lib2.final_cell_0148,27,17,2,25,27,13,2,25,27,13,2,25,27,13,2,25,27,13,2,1
human3_lib2.final_cell_0149,26,4,5,20,26,4,5,20,26,4,5,20,26,4,5,20,26,4,5,20
human3_lib2.final_cell_0150,9,21,6,3,9,21,6,3,9,21,6,3,9,21,6,3,9,16,6,1
human3_lib2.final_cell_0151,9,21,6,5,9,21,6,5,9,21,6,5,9,21,6,5,9,16,6,1
human3_lib2.final_cell_0152,4,12,1,17,4,12,1,17,4,12,1,17,4,12,1,17,2,12,1,1
human3_lib2.final_cell_0153,9,21,6,3,9,21,6,3,9,21,6,3,9,21,6,3,9,16,6,1
human3_lib2.final_cell_0154,4,18,1,12,4,12,1,12,4,12,1,12,4,12,1,12,2,12,1,12
human3_lib2.final_cell_0155,26,4,5,6,26,4,5,6,26,4,5,6,26,4,5,6,26,4,5,6
human3_lib2.final_cell_0156,4,12,1,8,4,12,1,8,4,12,1,8,4,12,1,8,2,12,1,1
human3_lib2.final_cell_0157,9,21,6,16,9,21,6,16,9,21,6,16,9,21,6,16,9,16,6,16
human3_lib2.final_cell_0158,27,17,2,17,27,13,2,17,27,13,2,17,27,13,2,17,27,13,2,1
human3_lib2.final_cell_0159,27,17,2,2,27,13,2,2,27,13,2,2,27,13,2,2,27,13,2,2
human3_lib2.final_cell_0160,28,22,11,9,28,22,11,9,28,22,11,9,27,22,11,9,27,22,11,9
human3_lib2.final_cell_0161,16,15,11,15,16,15,11,15,16,15,11,15,16,15,11,15,16,15,11,15
human3_lib2.final_cell_0162,16,15,11,26,16,15,11,26,16,15,11,26,16,15,11,26,16,15,11,26
human3_lib2.final_cell_0163,9,20,6,25,9,20,6,25,9,20,6,25,9,20,6,25,9,20,6,1
human3_lib2.final_cell_0164,27,17,2,11,27,13,2,11,27,13,2,11,27,13,2,11,27,13,2,11
human3_lib2.final_cell_0165,26,4,5,13,26,4,5,13,26,4,5,13,26,4,5,13,26,4,5,1
human3_lib2.final_cell_0166,9,20,6,20,9,20,6,20,9,20,6,20,9,20,6,20,9,20,6,20
human3_lib2.final_cell_0167,18,24,16,22,18,24,16,22,18,24,16,22,18,24,16,22,18,24,16,1
human3_lib2.final_cell_0168,27,17,2,17,27,13,2,17,27,13,2,17,27,13,2,17,27,13,2,1
human3_lib2.final_cell_0169,9,21,6,11,9,21,6,11,9,21,6,11,9,21,6,11,9,16,6,11
human3_lib2.final_cell_0170,9,16,6,5,9,16,6,5,9,16,6,5,9,16,6,5,9,16,6,1
human3_lib2.final_cell_0171,27,13,2,10,27,13,2,10,27,13,2,10,27,13,2,10,27,13,2,10
human3_lib2.final_cell_0172,27,11,14,4,27,11,14,4,27,11,14,4,27,11,14,4,27,11,14,4
human3_lib2.final_cell_0173,4,18,1,13,4,12,1,13,4,12,1,13,4,12,1,13,2,12,1,1
human3_lib2.final_cell_0174,27,17,2,19,27,13,2,19,27,13,2,19,27,13,2,19,27,13,2,19
human3_lib2.final_cell_0175,9,20,6,13,9,20,6,13,9,20,6,13,9,20,6,13,9,20,6,1
human3_lib2.final_cell_0176,4,12,1,5,4,12,1,5,4,12,1,5,4,12,1,5,2,12,1,1
human3_lib2.final_cell_0177,9,21,6,19,9,21,6,19,9,21,6,19,9,21,6,19,9,16,6,19
human3_lib2.final_cell_0178,4,18,1,2,4,12,1,2,4,12,1,2,4,12,1,2,2,12,1,2
human3_lib2.final_cell_0179,18,24,16,18,18,24,16,18,18,24,16,18,18,24,16,18,18,24,16,1
human3_lib2.final_cell_0180,27,17,2,8,27,13,2,8,27,13,2,8,27,13,2,8,27,13,2,1
human3_lib2.final_cell_0181,4,7,1,3,4,7,1,3,4,7,1,3,4,7,1,3,2,7,1,1
human3_lib2.final_cell_0182,9,16,6,6,9,16,6,6,9,16,6,6,9,16,6,6,9,16,6,6
human3_lib2.final_cell_0183,27,13,2,28,27,13,2,28,27,13,2,28,27,13,2,28,27,13,2,28
human3_lib2.final_cell_0184,27,13,2,7,27,13,2,7,27,13,2,7,27,13,2,7,27,13,2,7
human3_lib2.final_cell_0185,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,1
human3_lib2.final_cell_0186,4,12,1,25,4,12,1,25,4,12,1,25,4,12,1,25,2,12,1,1
human3_lib2.final_cell_0187,24,11,14,14,24,11,14,14,24,11,14,14,24,11,14,14,24,11,14,1
human3_lib2.final_cell_0188,26,4,5,28,26,4,5,28,26,4,5,28,26,4,5,28,26,4,5,28
human3_lib2.final_cell_0189,26,4,5,5,26,4,5,5,26,4,5,5,26,4,5,5,26,4,5,1
human3_lib2.final_cell_0190,4,18,1,8,4,12,1,8,4,12,1,8,4,12,1,8,2,12,1,1
human3_lib2.final_cell_0191,16,15,11,16,16,15,11,16,16,15,11,16,16,15,11,16,16,15,11,16
human3_lib2.final_cell_0192,9,16,12,18,9,16,12,18,9,16,12,18,9,16,12,18,9,16,12,1
human3_lib2.final_cell_0193,9,21,6,12,9,21,6,12,9,21,6,12,9,21,6,12,9,16,6,12
human3_lib2.final_cell_0194,26,4,5,21,26,4,5,21,26,4,5,21,26,4,5,21,26,4,5,21
human3_lib2.final_cell_0195,1,14,1,2,1,14,1,2,1,7,1,2,1,7,1,2,1,7,1,2
human3_lib2.final_cell_0196,9,21,6,1,9,21,6,1,9,21,6,1,9,21,6,1,9,16,6,1
human3_lib2.final_cell_0197,1,18,1,15,1,12,1,15,1,12,1,15,1,12,1,15,1,12,1,15
human3_lib2.final_cell_0198,21,1,6,17,21,1,6,17,21,1,6,17,21,1,6,17,21,1,6,1
human3_lib2.final_cell_0199,27,13,2,1,27,13,2,1,27,13,2,1,27,13,2,1,27,13,2,1
human3_lib2.final_cell_0200,9,21,6,9,9,21,6,9,9,21,6,9,9,21,6,9,9,16,6,9
human3_lib2.final_cell_0201,27,13,2,12,27,13,2,12,27,13,2,12,27,13,2,12,27,13,2,12
human3_lib2.final_cell_0202,4,12,1,4,4,12,1,4,4,12,1,4,4,12,1,4,2,12,1,4
human3_lib2.final_cell_0203,9,21,6,27,9,21,6,27,9,21,6,27,9,21,6,27,9,16,6,1
human3_lib2.final_cell_0204,9,20,6,26,9,20,6,26,9,20,6,26,9,20,6,26,9,20,6,26
human3_lib2.final_cell_0205,4,12,1,20,4,12,1,20,4,12,1,20,4,12,1,20,2,12,1,20
human3_lib2.final_cell_0206,5,18,6,20,5,12,6,20,5,12,6,20,5,12,6,20,5,12,6,20
human3_lib2.final_cell_0207,27,13,2,27,27,13,2,27,27,13,2,27,27,13,2,27,27,13,2,1
human3_lib2.final_cell_0208,16,15,11,26,16,15,11,26,16,15,11,26,16,15,11,26,16,15,11,26
human3_lib2.final_cell_0209,16,15,11,22,16,15,11,22,16,15,11,22,16,15,11,22,16,15,11,1
human3_lib2.final_cell_0210,9,21,6,3,9,21,6,3,9,21,6,3,9,21,6,3,9,16,6,1
human3_lib2.final_cell_0211,4,18,1,1,4,12,1,1,4,12,1,1,4,12,1,1,2,12,1,1
human3_lib2.final_cell_0212,4,12,1,27,4,12,1,27,4,12,1,27,4,12,1,27,2,12,1,1
human3_lib2.final_cell_0213,27,13,2,24,27,13,2,24,27,13,2,24,27,13,2,24,27,13,2,1
human3_lib2.final_cell_0214,27,13,2,9,27,13,2,9,27,13,2,9,27,13,2,9,27,13,2,9
human3_lib2.final_cell_0215,18,24,16,2,18,24,16,2,18,24,16,2,18,24,16,2,18,24,16,2
human3_lib2.final_cell_0216,4,12,1,24,4,12,1,24,4,12,1,24,4,12,1,24,2,12,1,1
human3_lib2.final_cell_0217,4,12,1,22,4,12,1,22,4,12,1,22,4,12,1,22,2,12,1,1
human3_lib2.final_cell_0218,27,17,2,25,27,13,2,25,27,13,2,25,27,13,2,25,27,13,2,1
human3_lib2.final_cell_0219,9,21,6,7,9,21,6,7,9,21,6,7,9,21,6,7,9,16,6,7
human3_lib2.final_cell_0220,26,4,5,19,26,4,5,19,26,4,5,19,26,4,5,19,26,4,5,19
human3_lib2.final_cell_0221,4,12,1,3,4,12,1,3,4,12,1,3,4,12,1,3,2,12,1,1
human3_lib2.final_cell_0222,16,15,11,26,16,15,11,26,16,15,11,26,16,15,11,26,16,15,11,26
human3_lib2.final_cell_0223,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,25,26,4,5,1
human3_lib2.final_cell_0224,16,22,9,2,16,22,9,2,16,22,9,2,16,22,9,2,16,22,9,2
human3_lib2.final_cell_0225,26,4,5,7,26,4,5,7,26,4,5,7,26,4,5,7,26,4,5,7
human3_lib2.final_cell_0226,27,17,2,22,27,13,2,22,27,13,2,22,27,13,2,22,27,13,2,1
human3_lib2.final_cell_0227,16,22,11,7,16,22,11,7,16,22,11,7,16,22,11,7,16,22,11,7
human3_lib2.final_cell_0228,27,17,2,1,27,13,2,1,27,13,2,1,27,13,2,1,27,13,2,1
human3_lib2.final_cell_0229,27,11,2,28,27,11,2,28,27,11,2,28,27,11,2,28,27,11,2,28
human3_lib2.final_cell_0230,9,21,6,28,9,21,6,28,9,21,6,28,9,21,6,28,9,16,6,28
human3_lib2.final_cell_0231,4,18,1,7,4,12,1,7,4,12,1,7,4,12,1,7,2,12,1,7
human3_lib2.final_cell_0232,16,15,11,23,16,15,11,23,16,15,11,23,16,15,11,23,16,15,11,23
human3_lib2.final_cell_0233,9,16,6,15,9,16,6,15,9,16,6,15,9,16,6,15,9,16,6,15
human3_lib2.final_cell_0234,9,21,6,3,9,21,6,3,9,21,6,3,9,21,6,3,9,16,6,1
human3_lib2.final_cell_0235,27,13,2,25,27,13,2,25,27,13,2,25,27,13,2,25,27,13,2,1
human3_lib2.final_cell_0236,4,12,1,2,4,12,1,2,4,12,1,2,4,12,1,2,2,12,1,2
human3_lib2.final_cell_0237,27,17,2,20,27,13,2,20,27,13,2,20,27,13,2,20,27,13,2,20
human3_lib2.final_cell_0238,4,12,1,26,4,12,1,26,4,12,1,26,4,12,1,26,2,12,1,26
human3_lib2.final_cell_0239,25,10,8,16,25,10,8,16,25,10,8,16,25,9,8,16,25,9,8,16
human3_lib2.final_cell_0240,4,12,1,20,4,12,1,20,4,12,1,20,4,12,1,20,2,12,1,20
human3_lib2.final_cell_0241,16,22,11,1,16,22,11,1,16,22,11,1,16,22,11,1,16,22,11,1
human3_lib2.final_cell_0242,9,20,6,17,9,20,6,17,9,20,6,17,9,20,6,17,9,20,6,1
human3_lib2.final_cell_0243,4,18,1,12,4,12,1,12,4,12,1,12,4,12,1,12,2,12,1,12
human3_lib2.final_cell_0244,21,20,6,21,21,20,6,21,21,20,6,21,21,20,6,21,21,20,6,21
human3_lib2.final_cell_0245,26,4,5,20,26,4,5,20,26,4,5,20,26,4,5,20,26,4,5,20
human3_lib2.final_cell_0246,4,12,1,2,4,12,1,2,4,12,1,2,4,12,1,2,2,12,1,2
human3_lib2.final_cell_0247,27,13,2,14,27,13,2,14,27,13,2,14,27,13,2,14,27,13,2,1
human3_lib2.final_cell_0248,4,12,1,12,4,12,1,12,4,12,1,12,4,12,1,12,2,12,1,12
human3_lib2.final_cell_0249,9,2,6,19,9,2,6,19,9,2,6,19,9,2,6,19,9,2,6,19
human3_lib2.final_cell_0250,4,18,1,15,4,12,1,15,4,12,1,15,4,12,1,15,2,12,1,15
human3_lib2.final_cell_0251,4,12,1,18,4,12,1,18,4,12,1,18,4,12,1,18,2,12,1,1
human3_lib2.final_cell_0252,25,10,8,23,25,10,8,23,25,10,8,23,25,9,8,23,25,9,8,23
human3_lib2.final_cell_0253,16,15,11,23,16,15,11,23,16,15,11,23,16,15,11,23,16,15,11,23
human3_lib2.final_cell_0254,16,15,11,16,16,15,11,16,16,15,11,16,16,15,11,16,16,15,11,16
human3_lib2.final_cell_0255,4,18,1,26,4,12,1,26,4,12,1,26,4,12,1,26,2,12,1,26
human3_lib2.final_cell_0256,4,12,1,12,4,12,1,12,4,12,1,12,4,12,1,12,2,12,1,12
human3_lib2.final_cell_0257,27,17,2,5,27,13,2,5,27,13,2,5,27,13,2,5,27,13,2,1
human3_lib2.final_cell_0258,4,18,1,11,4,12,1,11,4,12,1,11,4,12,1,11,2,12,1,11
human3_lib2.final_cell_0259,9,23,10,11,9,23,10,11,9,23,10,11,9,23,10,11,9,23,10,11
human3_lib2.final_cell_0260,27,13,2,14,27,13,2,14,27,13,2,14,27,13,2,14,27,13,2,1
human3_lib2.final_cell_0261,11,20,12,27,11,20,12,27,11,20,12,27,11,20,12,27,11,20,12,1
human3_lib2.final_cell_0262,16,15,11,3,16,15,11,3,16,15,11,3,16,15,11,3,16,15,11,1
human3_lib2.final_cell_0263,9,21,6,10,9,21,6,10,9,21,6,10,9,21,6,10,9,16,6,10
human3_lib2.final_cell_0264,26,4,5,15,26,4,5,15,26,4,5,15,26,4,5,15,26,4,5,15
human3_lib2.final_cell_0265,9,16,6,19,9,16,6,19,9,16,6,19,9,16,6,19,9,16,6,19
human3_lib2.final_cell_0266,27,17,2,5,27,13,2,5,27,13,2,5,27,13,2,5,27,13,2,1
human3_lib2.final_cell_0267,27,17,2,9,27,13,2,9,27,13,2,9,27,13,2,9,27,13,2,9
human3_lib2.final_cell_0268,27,13,2,3,27,13,2,3,27,13,2,3,27,13,2,3,27,13,2,1
human3_lib2.final_cell_0269,27,11,2,27,27,11,2,27,27,11,2,27,27,11,2,27,27,11,2,1
human3_lib2.final_cell_0270,27,17,2,26,27,13,2,26,27,13,2,26,27,13,2,26,27,13,2,26
human3_lib2.final_cell_0271,25,10,8,23,25,10,8,23,25,10,8,23,25,9,8,23,25,9,8,23
human3_lib2.final_cell_0272,27,17,2,9,27,13,2,9,27,13,2,9,27,13,2,9,27,13,2,9
human3_lib2.final_cell_0273,9,16,6,17,9,16,6,17,9,16,6,17,9,16,6,17,9,16,6,1
human3_lib2.final_cell_0274,16,15,11,8,16,15,11,8,16,15,11,8,16,15,11,8,16,15,11,1
human3_lib2.final_cell_0275,4,12,1,9,4,12,1,9,4,12,1,9,4,12,1,9,2,12,1,9
human3_lib2.final_cell_0276,9,20,6,19,9,20,6,19,9,20,6,19,9,20,6,19,9,20,6,19
human3_lib2.final_cell_0277,27,13,2,12,27,13,2,12,27,13,2,12,27,13,2,12,27,13,2,12
human3_lib2.final_cell_0278,7,16,13,3,7,16,13,3,7,16,13,3,7,16,13,3,7,16,13,1
human3_lib2.final_cell_0279,9,20,6,22,9,20,6,22,9,20,6,22,9,20,6,22,9,20,6,1
human3_lib2.final_cell_0280,27,13,2,15,27,13,2,15,27,13,2,15,27,13,2,15,27,13,2,15
human3_lib2.final_cell_0281,16,15,11,8,16,15,11,8,16,15,11,8,16,15,11,8,16,15,11,1
human3_lib2.final_cell_0282,9,16,6,6,9,16,6,6,9,16,6,6,9,16,6,6,9,16,6,6
human3_lib2.final_cell_0283,27,13,2,18,27,13,2,18,27,13,2,18,27,13,2,18,27,13,2,1
human3_lib2.final_cell_0284,9,21,6,28,9,21,6,28,9,21,6,28,9,21,6,28,9,16,6,28
human3_lib2.final_cell_0285,9,21,6,27,9,21,6,27,9,21,6,27,9,21,6,27,9,16,6,1
human3_lib2.final_cell_0286,4,18,1,2,4,12,1,2,4,12,1,2,4,12,1,2,2,12,1,2
human3_lib2.final_cell_0287,9,21,6,15,9,21,6,15,9,21,6,15,9,21,6,15,9,16,6,15
human3_lib2.final_cell_0288,4,12,1,24,4,12,1,24,4,12,1,24,4,12,1,24,2,12,1,1
human3_lib2.final_cell_0289,16,8,11,6,16,8,11,6,16,8,11,6,16,8,11,6,16,8,11,6
human3_lib2.final_cell_0290,4,12,1,21,4,12,1,21,4,12,1,21,4,12,1,21,2,12,1,21
human3_lib2.final_cell_0291,27,13,2,25,27,13,2,25,27,13,2,25,27,13,2,25,27,13,2,1
human3_lib2.final_cell_0292,4,18,1,15,4,12,1,15,4,12,1,15,4,12,1,15,2,12,1,15
human3_lib2.final_cell_0293,16,15,11,10,16,15,11,10,16,15,11,10,16,15,11,10,16,15,11,10
human3_lib2.final_cell_0294,25,10,8,17,25,10,8,17,25,10,8,17,25,9,8,17,25,9,8,1
human3_lib2.final_cell_0295,4,12,1,13,4,12,1,13,4,12,1,13,4,12,1,13,2,12,1,1
human3_lib2.final_cell_0296,4,18,1,6,4,12,1,6,4,12,1,6,4,12,1,6,2,12,1,6
human3_lib2.final_cell_0297,16,22,11,28,16,22,11,28,16,22,11,28,16,22,11,28,16,22,11,28
human3_lib2.final_cell_0298,27,13,2,10,27,13,2,10,27,13,2,10,27,13,2,10,27,13,2,10
human3_lib2.final_cell_0299,27,17,2,25,27,13,2,25,27,13,2,25,27,13,2,25,27,13,2,1
human3_lib2.final_cell_0300,27,13,2,25,27,13,2,25,27,13,2,25,27,13,2,25,27,13,2,1
human3_lib2.final_cell_0301,4,18,1,12,4,12,1,12,4,12,1,12,4,12,1,12,2,12,1,12
human3_lib2.final_cell_0302,4,12,1,10,4,12,1,10,4,12,1,10,4,12,1,10,2,12,1,10
human3_lib2.final_cell_0303,4,18,1,18,4,12,1,18,4,12,1,18,4,12,1,18,2,12,1,1
